combination,type,color_name,h_value,s_value,l_value,hsl_color,rgb_color
1,base_color,orange,17,254,152,"[24.0, 0.996078431372549, 0.596078431372549]","(0.9984159938485199, 0.5156109188773548, 0.19374086889657816)"
1,appendage_1,deep_green,82,213,118,"[115.76470588235296, 0.8352941176470589, 0.4627450980392157]","(0.13078553497523548, 0.8492733564013842, 0.07621683967704718)"
1,appendage_2,turquoise,125,248,163,"[176.47058823529412, 0.9725490196078431, 0.6392156862745098]","(0.2883352556708956, 0.9900961168781239, 0.9488160662188752)"
1,appendage_3,purple,190,240,151,"[268.2352941176471, 0.9411764705882353, 0.592156862745098]","(0.5695773118936154, 0.20830449826989628, 0.9760092272202998)"
1,appendage_4,dusty_rose,233,210,174,"[328.94117647058823, 0.8235294117647058, 0.6823529411764706]","(0.9439446366782007, 0.4207612456747405, 0.6915855892530023)"
2,base_color,yellow,39,246,139,"[55.05882352941177, 0.9647058823529412, 0.5450980392156862]","(0.9839446366782006, 0.9116640206255512, 0.1062514417531718)"
2,appendage_1,pink,212,223,138,"[299.29411764705884, 0.8745098039215686, 0.5411764705882353]","(0.9329810706289439, 0.13993079584775092, 0.9424221453287196)"
2,appendage_2,sea_green,104,225,150,"[146.8235294117647, 0.8823529411764706, 0.5882352941176471]","(0.22491349480968847, 0.9515570934256057, 0.5497659271320986)"
2,appendage_3,jeans,147,212,136,"[207.52941176470586, 0.8313725490196079, 0.5333333333333333]","(0.14535947712418296, 0.565284121491734, 0.9213071895424837)"
2,appendage_4,red,255,217,117,"[360.0, 0.8509803921568627, 0.4588235294117647]","(0.8492733564013841, 0.06837370242214524, 0.06837370242214524)"
3,base_color,light_green,60,229,164,"[84.70588235294117, 0.8980392156862745, 0.6431372549019608]","(0.6996919736752832, 0.9636139946174549, 0.32266051518646677)"
3,appendage_1,deep_blue,168,234,137,"[237.1764705882353, 0.9176470588235294, 0.5372549019607843]","(0.11261822376009223, 0.15258402876721605, 0.9618915801614764)"
3,appendage_2,turquoise,125,248,163,"[176.47058823529412, 0.9725490196078431, 0.6392156862745098]","(0.2883352556708956, 0.9900961168781239, 0.9488160662188752)"
3,appendage_3,dusty_rose,233,210,174,"[328.94117647058823, 0.8235294117647058, 0.6823529411764706]","(0.9439446366782007, 0.4207612456747405, 0.6915855892530023)"
3,appendage_4,orange,17,254,152,"[24.0, 0.996078431372549, 0.596078431372549]","(0.9984159938485199, 0.5156109188773548, 0.19374086889657816)"
4,base_color,deep_green,82,213,118,"[115.76470588235296, 0.8352941176470589, 0.4627450980392157]","(0.13078553497523548, 0.8492733564013842, 0.07621683967704718)"
4,appendage_1,red,255,217,117,"[360.0, 0.8509803921568627, 0.4588235294117647]","(0.8492733564013841, 0.06837370242214524, 0.06837370242214524)"
4,appendage_2,jeans,147,212,136,"[207.52941176470586, 0.8313725490196079, 0.5333333333333333]","(0.14535947712418296, 0.565284121491734, 0.9213071895424837)"
4,appendage_3,purple,190,240,151,"[268.2352941176471, 0.9411764705882353, 0.592156862745098]","(0.5695773118936154, 0.20830449826989628, 0.9760092272202998)"
4,appendage_4,yellow,39,246,139,"[55.05882352941177, 0.9647058823529412, 0.5450980392156862]","(0.9839446366782006, 0.9116640206255512, 0.1062514417531718)"
5,base_color,sea_green,104,225,150,"[146.8235294117647, 0.8823529411764706, 0.5882352941176471]","(0.22491349480968847, 0.9515570934256057, 0.5497659271320986)"
5,appendage_1,deep_blue,168,234,137,"[237.1764705882353, 0.9176470588235294, 0.5372549019607843]","(0.11261822376009223, 0.15258402876721605, 0.9618915801614764)"
5,appendage_2,pink,212,223,138,"[299.29411764705884, 0.8745098039215686, 0.5411764705882353]","(0.9329810706289439, 0.13993079584775092, 0.9424221453287196)"
5,appendage_3,orange,17,254,152,"[24.0, 0.996078431372549, 0.596078431372549]","(0.9984159938485199, 0.5156109188773548, 0.19374086889657816)"
5,appendage_4,light_green,60,229,164,"[84.70588235294117, 0.8980392156862745, 0.6431372549019608]","(0.6996919736752832, 0.9636139946174549, 0.32266051518646677)"
6,base_color,turquoise,125,248,163,"[176.47058823529412, 0.9725490196078431, 0.6392156862745098]","(0.2883352556708956, 0.9900961168781239, 0.9488160662188752)"
6,appendage_1,dusty_rose,233,210,174,"[328.94117647058823, 0.8235294117647058, 0.6823529411764706]","(0.9439446366782007, 0.4207612456747405, 0.6915855892530023)"
6,appendage_2,purple,190,240,151,"[268.2352941176471, 0.9411764705882353, 0.592156862745098]","(0.5695773118936154, 0.20830449826989628, 0.9760092272202998)"
6,appendage_3,yellow,39,246,139,"[55.05882352941177, 0.9647058823529412, 0.5450980392156862]","(0.9839446366782006, 0.9116640206255512, 0.1062514417531718)"
6,appendage_4,deep_green,82,213,118,"[115.76470588235296, 0.8352941176470589, 0.4627450980392157]","(0.13078553497523548, 0.8492733564013842, 0.07621683967704718)"
7,base_color,jeans,147,212,136,"[207.52941176470586, 0.8313725490196079, 0.5333333333333333]","(0.14535947712418296, 0.565284121491734, 0.9213071895424837)"
7,appendage_1,light_green,60,229,164,"[84.70588235294117, 0.8980392156862745, 0.6431372549019608]","(0.6996919736752832, 0.9636139946174549, 0.32266051518646677)"
7,appendage_2,pink,212,223,138,"[299.29411764705884, 0.8745098039215686, 0.5411764705882353]","(0.9329810706289439, 0.13993079584775092, 0.9424221453287196)"
7,appendage_3,red,255,217,117,"[360.0, 0.8509803921568627, 0.4588235294117647]","(0.8492733564013841, 0.06837370242214524, 0.06837370242214524)"
7,appendage_4,sea_green,104,225,150,"[146.8235294117647, 0.8823529411764706, 0.5882352941176471]","(0.22491349480968847, 0.9515570934256057, 0.5497659271320986)"
8,base_color,deep_blue,168,234,137,"[237.1764705882353, 0.9176470588235294, 0.5372549019607843]","(0.11261822376009223, 0.15258402876721605, 0.9618915801614764)"
8,appendage_1,deep_green,82,213,118,"[115.76470588235296, 0.8352941176470589, 0.4627450980392157]","(0.13078553497523548, 0.8492733564013842, 0.07621683967704718)"
8,appendage_2,dusty_rose,233,210,174,"[328.94117647058823, 0.8235294117647058, 0.6823529411764706]","(0.9439446366782007, 0.4207612456747405, 0.6915855892530023)"
8,appendage_3,orange,17,254,152,"[24.0, 0.996078431372549, 0.596078431372549]","(0.9984159938485199, 0.5156109188773548, 0.19374086889657816)"
8,appendage_4,turquoise,125,248,163,"[176.47058823529412, 0.9725490196078431, 0.6392156862745098]","(0.2883352556708956, 0.9900961168781239, 0.9488160662188752)"
9,base_color,purple,190,240,151,"[268.2352941176471, 0.9411764705882353, 0.592156862745098]","(0.5695773118936154, 0.20830449826989628, 0.9760092272202998)"
9,appendage_1,yellow,39,246,139,"[55.05882352941177, 0.9647058823529412, 0.5450980392156862]","(0.9839446366782006, 0.9116640206255512, 0.1062514417531718)"
9,appendage_2,red,255,217,117,"[360.0, 0.8509803921568627, 0.4588235294117647]","(0.8492733564013841, 0.06837370242214524, 0.06837370242214524)"
9,appendage_3,sea_green,104,225,150,"[146.8235294117647, 0.8823529411764706, 0.5882352941176471]","(0.22491349480968847, 0.9515570934256057, 0.5497659271320986)"
9,appendage_4,jeans,147,212,136,"[207.52941176470586, 0.8313725490196079, 0.5333333333333333]","(0.14535947712418296, 0.565284121491734, 0.9213071895424837)"
10,base_color,pink,212,223,138,"[299.29411764705884, 0.8745098039215686, 0.5411764705882353]","(0.9329810706289439, 0.13993079584775092, 0.9424221453287196)"
10,appendage_1,light_green,60,229,164,"[84.70588235294117, 0.8980392156862745, 0.6431372549019608]","(0.6996919736752832, 0.9636139946174549, 0.32266051518646677)"
10,appendage_2,orange,17,254,152,"[24.0, 0.996078431372549, 0.596078431372549]","(0.9984159938485199, 0.5156109188773548, 0.19374086889657816)"
10,appendage_3,turquoise,125,248,163,"[176.47058823529412, 0.9725490196078431, 0.6392156862745098]","(0.2883352556708956, 0.9900961168781239, 0.9488160662188752)"
10,appendage_4,deep_blue,168,234,137,"[237.1764705882353, 0.9176470588235294, 0.5372549019607843]","(0.11261822376009223, 0.15258402876721605, 0.9618915801614764)"
11,base_color,dusty_rose,233,210,174,"[328.94117647058823, 0.8235294117647058, 0.6823529411764706]","(0.9439446366782007, 0.4207612456747405, 0.6915855892530023)"
11,appendage_1,deep_green,82,213,118,"[115.76470588235296, 0.8352941176470589, 0.4627450980392157]","(0.13078553497523548, 0.8492733564013842, 0.07621683967704718)"
11,appendage_2,yellow,39,246,139,"[55.05882352941177, 0.9647058823529412, 0.5450980392156862]","(0.9839446366782006, 0.9116640206255512, 0.1062514417531718)"
11,appendage_3,jeans,147,212,136,"[207.52941176470586, 0.8313725490196079, 0.5333333333333333]","(0.14535947712418296, 0.565284121491734, 0.9213071895424837)"
11,appendage_4,purple,190,240,151,"[268.2352941176471, 0.9411764705882353, 0.592156862745098]","(0.5695773118936154, 0.20830449826989628, 0.9760092272202998)"
12,base_color,red,255,217,117,"[360.0, 0.8509803921568627, 0.4588235294117647]","(0.8492733564013841, 0.06837370242214524, 0.06837370242214524)"
12,appendage_1,sea_green,104,225,150,"[146.8235294117647, 0.8823529411764706, 0.5882352941176471]","(0.22491349480968847, 0.9515570934256057, 0.5497659271320986)"
12,appendage_2,light_green,60,229,164,"[84.70588235294117, 0.8980392156862745, 0.6431372549019608]","(0.6996919736752832, 0.9636139946174549, 0.32266051518646677)"
12,appendage_3,deep_blue,168,234,137,"[237.1764705882353, 0.9176470588235294, 0.5372549019607843]","(0.11261822376009223, 0.15258402876721605, 0.9618915801614764)"
12,appendage_4,pink,212,223,138,"[299.29411764705884, 0.8745098039215686, 0.5411764705882353]","(0.9329810706289439, 0.13993079584775092, 0.9424221453287196)"
